event_name,event_date,fighter1,fighter1_best,fighter1_avg,fighter2,fighter2_best,fighter2_avg
UFC,,Azamat Murzakanov,1.51,1.51,Tafon Nchukwi,2.64,2.64
UFC,,Alex Volkanovski,1.256,1.256,Yair Rodriguez,4.1,4.1
UFC,,Alexandre Pantoja,2.66,2.66,Brandon Moreno,1.505,1.505
UFC,,Dricus Du Plessis,4.0,4.0,Robert Whittaker,1.267,1.267
UFC,,Dan Hooker,3.45,3.45,Jalin Turner,1.333,1.333
UFC,,Bo Nickal,1.045,1.045,Val Woodburn,12.0,12.0
UFC,,Niko Price,1.455,1.455,Robbie Lawler,2.84,2.84
UFC,,Edgar Chairez,8.0,8.0,Tatsuro Taira,1.091,1.091
UFC,,Denise Gomes,4.0,4.0,Yazmin Jauregui,1.267,1.267
UFC,,Alonzo Menifield,2.22,2.22,Jimmy Crute,1.694,1.694
UFC,,Conor McGregor,,,Ronda Rousey,,
UFC,,Dustin Poirier,1.658,1.658,Justin Gaethje,2.28,2.28
UFC,,Alex Pereira,1.893,1.893,Jan Brachowicz,1.962,1.962
UFC,,Derrick Lewis,2.76,2.76,Marcos Rogerio,1.476,1.476
UFC,,Michel Pereira,,,Stephen Thompson,,
UFC,,Bobby Green,1.267,1.267,Tony Ferguson,4.0,4.0
UFC,,Kevin Holland,1.735,1.735,Michael Chiesa,2.16,2.16
UFC,,Gabriel Bonfim,1.286,1.286,Trevin Giles,3.8,3.8
UFC,,C.J. Vergara,1.595,1.595,Vinicius Salvador,2.42,2.42
UFC,,Claudio Ribeiro,2.94,2.94,Roman Kopylov,1.426,1.426
UFC,,Darrius Flowers,3.35,3.35,Jake Matthews,1.345,1.345
UFC 295: Jones vs. Miocic,,Joshua van,1.408,1.408,Kevin Borjas,3.0,3.0
UFC 295: Jones vs. Miocic,,Dennis Buzukja,3.1,3.1,Jamall Emmers,1.392,1.392
UFC 295: Jones vs. Miocic,,Mateusz Rebecki,,,Nurullo Aliev,,
UFC,,Modestas Bukauskas,3.15,3.15,Vitor Petrino,1.385,1.385
UFC,,Angela Hill,2.16,2.16,Denise Gomes,1.735,1.735
UFC,,Eduarda Moura,1.161,1.161,Montserrat Ruiz,5.6,5.6
UFC,,Kaue Fernandes,2.64,2.64,Marc Diakiese,1.51,1.51
UFC,,Curtis Blaydes,,,Jailton Almeida,,
UFC,,Conor McGregor,,,Michael Chandler,,
