fighter_url,elo_rating,peak_elo,fights_processed,elo_source
http://www.ufcstats.com/fighter-details/c8cca8f3de5be4b4,1462.33,1480.88,3,ufc_fights
http://www.ufcstats.com/fighter-details/5ca158b1cc9cb242,1447.96,1470.21,2,ufc_fights
http://www.ufcstats.com/fighter-details/5898357a45a73674,1531.2,1531.2,1,ufc_fights
http://www.ufcstats.com/fighter-details/c058823a2595ab09,1468.8,1468.8,1,ufc_fights
http://www.ufcstats.com/fighter-details/6859f67468ba8489,1422.65,1580.57,20,ufc_fights
http://www.ufcstats.com/fighter-details/7b6ce3a9460565b5,1454.03,1472.11,2,ufc_fights
http://www.ufcstats.com/fighter-details/a72d260b436924c4,1533.84,1533.84,1,ufc_fights
http://www.ufcstats.com/fighter-details/6810d8d2dd557cf9,1475.96,1475.96,1,ufc_fights
http://www.ufcstats.com/fighter-details/a25b71fe5e31fa97,1491.92,1532.41,3,ufc_fights
http://www.ufcstats.com/fighter-details/263ebd4a669e1e98,1477.62,1537.53,8,ufc_fights
http://www.ufcstats.com/fighter-details/efaf544314bb5c2e,1485.9,1563.16,10,ufc_fights
http://www.ufcstats.com/fighter-details/41e77dc504a192c6,1467.89,1467.89,1,ufc_fights
http://www.ufcstats.com/fighter-details/911fb265462f0d94,1476.12,1498.79,3,ufc_fights
http://www.ufcstats.com/fighter-details/c61f66d8c3fd5f07,1464.78,1464.78,1,ufc_fights
http://www.ufcstats.com/fighter-details/672ef06fd9f41f7d,1468.8,1531.2,2,ufc_fights
http://www.ufcstats.com/fighter-details/44260175069b6276,1427.73,1647.98,20,ufc_fights
http://www.ufcstats.com/fighter-details/79899ecf62020f6d,1514.37,1635.18,22,ufc_fights
http://www.ufcstats.com/fighter-details/4b2390cfaceb91d8,1529.74,1529.74,1,ufc_fights
http://www.ufcstats.com/fighter-details/cd42bbe8887bba90,1447.07,1477.21,3,ufc_fights
http://www.ufcstats.com/fighter-details/f341f9551ba744e2,1496.88,1532.45,2,ufc_fights
http://www.ufcstats.com/fighter-details/ab35634d1a8c7a11,1469.99,1469.99,2,ufc_fights
http://www.ufcstats.com/fighter-details/ce783bf73b5131f9,1520.29,1560.11,10,ufc_fights
http://www.ufcstats.com/fighter-details/c2a7623f398d9bd7,1457.47,1474.82,2,ufc_fights
http://www.ufcstats.com/fighter-details/bba678d312590087,1475.31,1475.31,1,ufc_fights
http://www.ufcstats.com/fighter-details/c7e9d15cfce52f1d,1432.39,1472.54,4,ufc_fights
http://www.ufcstats.com/fighter-details/a314687f372b2cec,1448.95,1478.13,2,ufc_fights
http://www.ufcstats.com/fighter-details/1e38bba6738b7b10,1502.02,1502.02,1,ufc_fights
http://www.ufcstats.com/fighter-details/6ece1d2ab1bed31d,1435.68,1463.63,2,ufc_fights
http://www.ufcstats.com/fighter-details/4a01dc8376736ef5,1497.99,1527.3,2,ufc_fights
http://www.ufcstats.com/fighter-details/1ffc38f67785797b,1472.7,1472.7,1,ufc_fights
